actual,predicted.gaussian,predicted.svm,predicted.random,actual_scaled,predicted.neural$net.result
381,398.516287057966,418.351251102861,362.554366666667,0.283983849259758,0.281065837872467
268,231.794194754388,263.775190045365,268.469033333333,0.235531628532974,0.240617752924976
393,385.550798256582,385.900842603499,362.367,0.236877523553163,0.252590099510702
295,296.445278809167,302.669729855093,306.340566666667,0.576043068640646,0.560049771657399
578,573.599514168349,568.498406430919,555.523133333333,0.566621803499327,0.570785616607871
715,698.134598512978,713.242349681883,677.528566666667,0.781965006729475,0.776532055723426
318,331.856210229284,341.287950987955,323.438333333334,0.776581426648721,0.774674201521364
319,311.307993366626,317.496504525881,315.495166666667,0.818304172274563,0.78468774123324
445,446.849366582426,449.007687523854,455.686933333334,0.761776581426649,0.758110082327726
337,321.773430212349,323.376326935057,327.488266666666,0.721399730820996,0.719127515448642
786,758.210081193268,771.466324959861,724.1398,0.899057873485868,0.891051730489959
362,348.360294473761,340.99843331092,344.459,0.857335127860027,0.850882078598576
400,384.653975987466,377.373194912968,389.786233333333,0.869448183041723,0.866999448679524
286,288.3493359491,305.565787582101,285.7053,0.51278600269179,0.509289478652549
249,245.918392414629,231.246141735066,247.3952,0.402422611036339,0.400004996910955
447,451.889417826838,446.102589430223,443.1234,0.5814266487214,0.583438678470794
367,355.404688256104,350.920526780364,341.103333333333,0.278600269179004,0.275099897495371
256,265.887954247907,242.611428118123,256.382533333333,0.281292059219381,0.291028014027725
264,257.185487301484,260.320817774397,268.609066666667,0.376850605652759,0.367627676836467
314,306.969390788961,297.411866125616,303.491033333333,0.362045760430686,0.370730286342036
685,671.477840220231,671.581542882941,660.6996,0.387617765814266,0.384289010042332
385,380.644696081731,373.496481683183,382.470066666667,0.843876177658143,0.828356692437034
456,427.218375813697,438.626860572447,421.648333333333,0.713324360699865,0.696821567542872
268,261.155447235124,271.810711069676,262.908866666667,0.791386271870794,0.788120639758351
555,527.469634948502,533.758724673673,513.8028,0.566621803499327,0.555589391643798
333,333.014008542734,331.217356901835,326.671666666667,0.759084791386272,0.752871696983133
607,605.210472916563,589.446530516029,584.268833333333,0.745625841184388,0.720641584155515
304,310.976156801307,289.614687396021,289.1975,0.594885598923284,0.585919387209779
653,638.470819042981,648.640042562964,649.665633333333,0.419919246298789,0.409441085457389
309,301.458613763409,293.894274448259,303.8605,0.362045760430686,0.375981324881621
740,732.257506886186,724.068627269985,709.3374,0.269179004037685,0.291808708021139
335,314.681469486916,312.05362128317,341.782966666667,0.434724091520861,0.431670261120567
234,241.122542420543,244.938745665908,244.9079,0.301480484522207,0.317057532435218
