"","output_yield","year","reginal_zone","province_code","planted_area","harvested_area","production_ton","yield_ha_area","sale_price","fertilizer_use","cost","Temp","RainDay","Rainfall"
"2138",282,2560,1,211,95014,86848,26796,309,7026.5,18.05,3692.43,6,3,2
"2139",335,2560,2,220,521326,507034,174493,344,7026.5,16.73,3692.43,26,10,1
"2140",368,2560,2,230,755413,747685,277683,371,7026.5,16.55,3692.43,16,14,7
"2141",376,2560,2,240,109596,107347,41175,384,7026.5,19.57,3692.43,10,15,8
"2142",353,2560,3,250,803056,770434,283473,368,7026.5,20.85,3692.43,2,7,9
"2143",335,2560,3,260,639815,627309,214041,341,7026.5,18.98,3692.43,24,16,4
"2144",337,2560,3,270,2608743,2582656,878572,340,7026.5,20.76,3692.43,22,0,1
"2145",380,2560,5,280,2733580,2691075,1039377,386,7026.5,29.62,3692.43,15,2,10
"2146",385,2560,5,290,3061433,2969520,1179595,397,6914.5,28.43,3692.43,14,12,9
"2147",373,2560,5,300,2603178,2551114,972186,381,6939.5,27.84,3692.43,26,16,2
"2148",353,2560,4,310,1075778,1031201,379432,368,7026.5,27.22,3692.43,12,1,3
"2149",367,2560,4,320,2219952,2160415,814675,377,7026.5,27.15,3692.43,9,5,0
"2150",364,2560,4,330,346793,343325,126173,368,7026.5,23.13,3692.43,5,13,8
"2151",301,2560,4,340,594785,531049,179188,337,7026.5,23.64,3692.43,23,14,6
"2152",318,2560,6,350,919822,836931,292923,350,6807,19.99,3692.43,12,17,8
"2153",345,2560,6,360,3128269,2801942,1079738,385,7120,27.92,3692.43,26,13,0
"2154",630,2560,7,370,310852,307743,195837,636,8094.5,44.46,4745.14,12,7,6
"2155",537,2560,7,380,634613,622835,340914,547,7796.5,32.99,4745.14,9,9,10
"2156",685,2560,14,390,265150,262499,181628,692,7920,46.09,4745.14,19,4,10
"2157",670,2560,14,400,701539,700487,470031,671,7797.5,47.55,4745.14,15,16,9
"2158",732,2560,14,410,1272114,1270843,931187,733,7761,47.83,4745.14,1,1,6
"2159",653,2560,14,420,325719,325392,212695,654,7720.5,44.77,4745.14,16,13,6
"2160",655,2560,15,430,710582,707029,465431,658,7599.5,39.88,4745.14,14,2,4
"2161",718,2560,15,440,87412,87325,62762,719,7445.5,38.21,4745.14,10,4,5
"2162",675,2560,15,450,78118,77962,52730,676,7513,44.18,4745.14,4,6,2
"2163",710,2560,15,460,319112,318825,226570,711,7641.5,46.21,4745.14,12,6,3
"2164",572,2560,18,470,365818,364903,209248,573,7175,34.79,4745.14,19,11,4
"2165",414,2560,18,480,383899,382374,158905,416,6937.5,25.23,4745.14,9,2,3
"2166",629,2560,18,490,618922,616440,389604,632,6600,39.53,4745.14,16,14,3
"2167",311,2560,20,500,715315,686003,222602,324,7445.5,23.43,4745.14,17,6,1
"2168",365,2560,20,510,18722,18535,6834,369,7445.5,25.98,4745.14,17,9,6
"2169",411,2560,20,520,15742,15635,6470,414,7445.5,28.03,4745.14,15,16,5
"2170",456,2560,19,530,16886,16752,7700,460,7445.5,33.32,4745.14,25,17,10
"2171",475,2560,19,540,67209,66537,31924,480,7445.5,32.11,4745.14,16,8,9
"2172",786,2560,19,550,20885,20843,16416,788,7062.5,39.41,4745.14,9,14,5
"2173",705,2560,17,560,7763,7732,5473,708,7287.5,38.03,4745.14,30,11,0
"2174",740,2560,17,570,333190,332508,246581,742,7468.5,45.24,4745.14,13,11,5
"2175",597,2560,16,580,377244,373472,225215,603,7331,37.21,4745.14,30,6,8
"2176",670,2560,16,590,278315,276088,186471,675,7387.5,46.78,4745.14,19,17,5
"2177",712,2560,17,600,3497,3497,2490,712,7350,38.18,4745.14,18,17,4
"2178",698,2560,16,610,299257,298659,208881,699,7337.5,40.74,4745.14,20,16,3
"2179",541,2560,16,620,23146,22452,12522,558,7337.5,32.6,4745.14,23,6,10
"2180",386,2560,21,630,4950,4851,1911,394,7900,37.84,4003.03,29,12,5
"2181",340,2560,21,640,1049,1035,357,345,7900,11.82,4003.03,7,12,3
"2182",440,2560,21,650,5124,5073,2255,445,7900,29.65,4003.03,11,2,8
"2183",324,2560,23,660,1380,1380,447,324,7900,26.51,4003.03,11,3,1
"2184",507,2560,23,670,67,67,34,507,7900,28.99,4003.03,26,17,5
"2185",311,2560,23,680,6696,6663,2082,312,7900,17.27,4003.03,16,16,5
"2186",388,2560,23,690,12520,12417,4858,391,7900,23.43,4003.03,21,15,6
"2187",384,2560,22,700,285879,258369,109778,425,7900,28.86,4003.03,26,9,2
"2188",387,2560,22,710,130090,122815,50345,410,7900,29.37,4003.03,4,14,0
"2189",537,2560,22,720,198117,197198,106389,540,7900,29.78,4003.03,2,2,9
"2190",393,2560,22,730,24967,24784,9812,396,7900,31.03,4003.03,2,13,8
"2191",355,2560,24,740,80867,79814,28708,360,7900,24.03,4003.03,23,2,0
"2192",356,2560,24,750,25348,25181,9024,358,7900,20.93,4003.03,17,15,6
"2193",390,2560,24,760,52342,51295,20413,398,7900,20.93,4003.03,12,7,3
