"Year","Reginal_Zone","Province_Code","Planted_Area","Harvested_Area","Production_Ton","Yield_HA_Area","Sale_Price","Highest_Price","Lowest_Price","Peak_Price","Compitation_Price","Fertilizer1_Price","Fertilizer2_Price","Fertilizer3_Price","Fertilizer_Use","Cost","Yield_PA_Area","predicted"
23,"16","580",1321,1152,853,678,52,53,1,35,194,9,7,7,38.58,93,586,589.380152624137
24,"16","580",1339,1318,901,616,367,53,235,24,195,11,10,9,39.06,96,604,578.58558766562
25,"16","580",1340,1326,926,620,207,217,110,185,190,10,9,8,39.87,97,614,586.711108675989
26,"16","580",1319,1264,824,604,214,232,183,170,182,8,6,5,39.42,98,573,566.014152042865
27,"16","580",1233,1211,740,602,247,260,177,143,178,7,5,3,37.21,94,581,570.200625619142
28,"16","580",1206,1220,751,603,138,175,125,128,164,1,3,4,37.21,91,597,588.597486633685
