"Year","Reginal_Zone","Province_Code","Planted_Area","Harvested_Area","Production_Ton","Yield_HA_Area","Sale_Price","Highest_Price","Lowest_Price","Peak_Price","Compitation_Price","Fertilizer1_Price","Fertilizer2_Price","Fertilizer3_Price","Fertilizer_Use","Cost","Yield_PA_Area","predicted"
23,"1","180",4,2101,1249,408,332,284,276,228,1,9,7,7,14.68,73,401,1180.81447614238
24,"1","180",2006,1981,1192,429,49,41,7,30,3,11,10,9,16.53,80,414,475.800019525609
25,"1","180",30,2104,1275,414,173,237,111,102,2,10,9,8,16.44,85,400,1224.13531736289
26,"1","180",2057,2040,1154,384,198,211,184,166,199,8,6,5,14.73,87,372,362.387498392104
27,"1","180",373,350,1605,381,217,231,149,135,198,7,5,3,15.98,75,370,336.154752634277
28,"1","180",392,381,1667,393,126,152,112,105,183,1,3,4,15.98,71,389,361.042212010477
