"Year","Reginal_Zone","Province_Code","Planted_Area","Harvested_Area","Production_Ton","Yield_HA_Area","Sale_Price","Highest_Price","Lowest_Price","Peak_Price","Compitation_Price","Fertilizer1_Price","Fertilizer2_Price","Fertilizer3_Price","Fertilizer_Use","Cost","Yield_PA_Area","predicted"
23,"5","290",1009,942,101,375,354,6,275,224,1,9,7,7,30.59,73,351,336.308011900898
24,"5","290",976,870,57,379,49,41,7,30,3,11,10,9,31.13,80,340,334.294187152433
25,"5","290",963,894,83,383,173,237,111,102,2,10,9,8,28.53,85,356,383.533043983519
26,"5","290",960,950,110,379,198,211,184,166,199,8,6,5,28.91,87,372,343.894486398158
27,"5","290",917,897,91,386,199,223,144,135,198,7,5,3,28.43,75,372,370.837483535932
28,"5","290",926,912,124,397,117,149,98,103,183,1,3,4,28.43,71,385,375.13696811979
