"Year","Reginal_Zone","Province_Code","Planted_Area","Harvested_Area","Production_Ton","Yield_HA_Area","Sale_Price","Highest_Price","Lowest_Price","Peak_Price","Compitation_Price","Fertilizer1_Price","Fertilizer2_Price","Fertilizer3_Price","Fertilizer_Use","Cost","Yield_PA_Area","predicted"
23,"2","220",1366,1252,260,368,324,285,275,224,1,9,7,7,17.55,73,325,302.375400918653
24,"2","220",1448,1352,284,339,1,1,1,1,3,11,10,9,18.59,80,299,369.531914110273
25,"2","220",1402,1351,292,344,173,237,111,102,2,10,9,8,18.4,85,324,269.574412750279
26,"2","220",1439,1414,319,325,198,211,184,166,199,8,6,5,17.47,87,316,365.885003475306
27,"2","220",1411,1360,248,322,217,231,149,135,198,7,5,3,16.73,75,306,285.469317539272
28,"2","220",1506,1475,466,344,126,152,112,105,183,1,3,4,16.73,71,335,358.249952488372
