"Year","Reginal_Zone","Province_Code","Planted_Area","Harvested_Area","Production_Ton","Yield_HA_Area","Sale_Price","Highest_Price","Lowest_Price","Peak_Price","Compitation_Price","Fertilizer1_Price","Fertilizer2_Price","Fertilizer3_Price","Fertilizer_Use","Cost","Yield_PA_Area","predicted"
23,"16","610",949,949,688,691,55,53,5,14,194,9,7,7,47.79,93,684,679.141203035387
24,"16","610",982,1006,745,700,380,53,256,32,195,11,10,9,46.74,96,699,684.955669987861
25,"16","610",985,991,757,715,220,240,104,203,190,10,9,8,44.14,97,703,685.939902217957
26,"16","610",933,933,680,699,223,201,206,164,182,8,6,5,41.66,98,683,662.998747590246
27,"16","610",894,901,638,698,163,213,122,109,178,7,5,3,40.74,94,691,667.843950936448
28,"16","610",901,919,671,699,139,173,131,126,164,1,3,4,40.74,91,698,669.277168498681
