"Year","Reginal_Zone","Province_Code","Planted_Area","Harvested_Area","Production_Ton","Yield_HA_Area","Sale_Price","Highest_Price","Lowest_Price","Peak_Price","Compitation_Price","Fertilizer1_Price","Fertilizer2_Price","Fertilizer3_Price","Fertilizer_Use","Cost","Yield_PA_Area","predicted"
23,"9","80",280,151,1738,587,361,28,274,221,188,9,7,7,39.15,81,502,554.466464929642
24,"9","80",318,310,1960,605,327,296,218,248,198,11,10,9,37.1,89,601,587.401953288504
25,"9","80",301,300,1950,611,144,198,91,152,193,10,9,8,35.66,92,607,585.743407770931
26,"9","80",245,249,1829,584,149,186,126,158,191,8,6,5,34.14,95,581,555.543429424258
27,"9","80",160,154,1727,578,160,216,136,121,189,7,5,3,34.28,90,572,545.15486273582
28,"9","80",175,181,1762,589,131,164,115,114,176,1,3,4,34.28,83,586,537.490959071055
