"Year","Reginal_Zone","Province_Code","Planted_Area","Harvested_Area","Production_Ton","Yield_HA_Area","Sale_Price","Highest_Price","Lowest_Price","Peak_Price","Compitation_Price","Fertilizer1_Price","Fertilizer2_Price","Fertilizer3_Price","Fertilizer_Use","Cost","Yield_PA_Area","predicted"
23,"8","150",753,376,1999,564,386,31,283,3,188,9,7,7,40.18,81,351,409.558029355881
24,"8","150",747,738,249,572,329,294,229,249,198,11,10,9,42.07,89,558,573.110354620237
25,"8","150",711,694,254,601,191,221,121,175,193,10,9,8,40.52,92,581,603.154660336058
26,"8","150",692,689,220,579,158,192,142,116,191,8,6,5,35.72,95,576,570.33091770525
27,"8","150",623,608,132,568,171,226,148,150,189,7,5,3,35.2,90,556,556.736766410198
28,"8","150",628,610,160,590,136,169,128,120,176,1,3,4,35.2,83,576,554.789781172139
