"Year","Reginal_Zone","Province_Code","Planted_Area","Harvested_Area","Production_Ton","Yield_HA_Area","Sale_Price","Highest_Price","Lowest_Price","Peak_Price","Compitation_Price","Fertilizer1_Price","Fertilizer2_Price","Fertilizer3_Price","Fertilizer_Use","Cost","Yield_PA_Area","predicted"
23,"7","370",1266,962,503,581,32,42,292,26,200,9,7,7,49.83,93,459,476.302732296631
24,"7","370",1300,1295,900,634,356,22,252,21,170,11,10,9,50.5,96,626,621.464835429181
25,"7","370",1251,1234,868,645,205,246,101,189,180,10,9,8,48.94,97,630,618.287532110636
26,"7","370",1127,1139,806,659,192,203,176,159,181,8,6,5,46.08,98,652,647.753462848732
27,"7","370",912,920,546,629,258,270,158,149,175,7,5,3,44.46,94,621,617.046575324428
28,"7","370",947,951,591,636,244,234,214,200,159,1,3,4,44.46,91,630,622.825282042484
