"Year","Reginal_Zone","Province_Code","Planted_Area","Harvested_Area","Production_Ton","Yield_HA_Area","Sale_Price","Highest_Price","Lowest_Price","Peak_Price","Compitation_Price","Fertilizer1_Price","Fertilizer2_Price","Fertilizer3_Price","Fertilizer_Use","Cost","Yield_PA_Area","predicted"
23,"22","730",1291,1256,362,405,62,84,9,43,145,9,7,7,30.15,72,391,377.713851326194
24,"22","730",1020,1015,180,391,63,93,10,42,130,11,10,9,32.51,79,386,357.385554868371
25,"22","730",916,938,135,393,173,237,111,102,65,10,9,8,33.06,84,392,349.647821299156
26,"22","730",777,791,16,391,198,211,184,166,106,8,6,5,33.11,86,390,368.298319537206
27,"22","730",740,742,2085,396,189,199,175,135,89,7,5,3,31.03,76,390,425.54691906294
28,"22","730",738,746,2089,396,230,194,217,171,149,1,3,4,31.03,77,393,423.267324158287
