"Year","Reginal_Zone","Province_Code","Planted_Area","Harvested_Area","Production_Ton","Yield_HA_Area","Sale_Price","Highest_Price","Lowest_Price","Peak_Price","Compitation_Price","Fertilizer1_Price","Fertilizer2_Price","Fertilizer3_Price","Fertilizer_Use","Cost","Yield_PA_Area","predicted"
23,"4","340",1677,1576,621,352,354,6,275,224,1,9,7,7,22.8,73,310,284.82225062603
24,"4","340",1701,1537,537,342,49,41,7,30,3,11,10,9,23.8,80,278,255.353867454109
25,"4","340",1656,1566,518,325,173,237,111,102,2,10,9,8,24.19,85,290,322.489163887671
26,"4","340",1662,1547,513,333,198,211,184,166,199,8,6,5,23.64,87,285,237.197573363199
27,"4","340",1611,1480,452,335,217,231,149,135,198,7,5,3,23.64,75,287,305.568401190429
28,"4","340",1608,1515,493,337,126,152,112,105,183,1,3,4,23.64,71,301,291.309624260472
