"Year","Reginal_Zone","Province_Code","Yield_HA_Area","Planted_Area","Harvested_Area","Production_Ton","Sale_Price","Highest_Price","Lowest_Price","Peak_Price","Compitation_Price","Fertilizer1_Price","Fertilizer2_Price","Fertilizer3_Price","Fertilizer_Use","Cost","Yield_PA_Area"
2532,12,10,539,-0.695138491301301,-0.705287321204508,-1.56611059055793,-0.652111059922532,-0.484100030963792,-0.731018807270885,-0.634449270481319,-0.9590920479338,-0.057746180590763,0.311585981288739,0.311752068308726,-1.68718162486076,-1.38184051448006,528
2532,12,20,524,-1.15154660304887,-1.16368537311695,1.34567196022768,-0.652111059922532,-0.484100030963792,-0.731018807270885,-0.634449270481319,-0.9590920479338,-0.057746180590763,0.311585981288739,0.311752068308726,-1.8803855708817,-1.38184051448006,523
2532,12,30,480,-1.54720975028328,-1.55964928175817,0.767924263604869,-0.652111059922532,-0.484100030963792,-0.731018807270885,-0.634449270481319,-0.9590920479338,-0.057746180590763,0.311585981288739,0.311752068308726,-1.9301131688027,-1.38184051448006,475
2532,13,40,459,-0.530962911535988,-0.504840861228457,-1.57598661956003,-0.652111059922532,-0.484100030963792,-0.731018807270885,-0.634449270481319,-0.9590920479338,-0.057746180590763,0.311585981288739,0.311752068308726,-0.476599937767562,-1.38184051448006,458
2532,13,50,512,-1.16303889363245,-1.17682940327932,1.28312377654772,-0.652111059922532,-0.484100030963792,-0.731018807270885,-0.634449270481319,-0.9590920479338,-0.057746180590763,0.311585981288739,0.311752068308726,-1.43039157002281,-1.38184051448006,510
2532,13,60,298,1.40630892969471,1.44704761788259,-0.287164834786073,-0.652111059922532,-0.484100030963792,-0.731018807270885,-0.634449270481319,-0.9590920479338,-0.057746180590763,0.311585981288739,0.311752068308726,-2.13880603876624,-1.38184051448006,297
2532,9,70,400,-1.16960591682306,-1.19983145606345,0.899604650299527,-0.652111059922532,-0.484100030963792,-0.731018807270885,-0.634449270481319,-0.9590920479338,-0.057746180590763,0.311585981288739,0.311752068308726,-1.66680146177838,-1.38184051448006,390
2532,9,80,427,-1.24348492771745,-1.2556935842535,0.927586732472141,-0.652111059922532,-0.484100030963792,-0.731018807270885,-0.634449270481319,-0.683745901345655,-0.057746180590763,0.311585981288739,0.311752068308726,-1.36354463511261,-1.38184051448006,421
2532,9,90,366,1.27332671008481,1.2630311956095,-0.13244038041985,-0.652111059922532,-0.484100030963792,-0.731018807270885,-0.634449270481319,-0.683745901345655,-0.057746180590763,0.311585981288739,0.311752068308726,-1.71734426622268,-1.38184051448006,357
2532,11,100,603,1.14526975786786,1.17266598824325,0.410741214695611,-0.652111059922532,-0.484100030963792,-0.731018807270885,-0.634449270481319,-0.9590920479338,-0.057746180590763,0.311585981288739,0.311752068308726,-1.47115189618756,-1.38184051448006,603
2532,11,120,399,0.0682779546074072,0.0997845262402856,-1.33896192350965,-0.652111059922532,-0.484100030963792,-0.731018807270885,-0.634449270481319,-0.683745901345655,-0.057746180590763,0.311585981288739,0.311752068308726,-1.68718162486076,-1.38184051448006,394
2532,10,130,435,-1.57840311043869,-1.61386840617792,0.537483586889219,-0.652111059922532,-0.484100030963792,-0.731018807270885,-0.634449270481319,-0.683745901345655,-0.057746180590763,0.311585981288739,0.311752068308726,-0.94778930823212,-1.38184051448006,424
2532,10,140,339,-1.04811598779673,-1.03881708657449,0.881498597129011,-0.652111059922532,-0.484100030963792,-0.731018807270885,-0.634449270481319,-0.683745901345655,-0.057746180590763,0.311585981288739,0.311752068308726,-0.814095438411726,-1.38184051448006,337
2532,8,150,387,-0.655736352157626,-0.698715306123326,1.43784823091394,-0.652111059922532,-0.484100030963792,-0.731018807270885,-0.634449270481319,-0.683745901345655,-0.057746180590763,0.311585981288739,0.311752068308726,-1.05213574321389,-1.38184051448006,373
2532,8,160,325,0.895722876624588,0.873639302049465,-0.817178391232068,-0.652111059922532,-0.484100030963792,-0.731018807270885,-0.634449270481319,-0.683745901345655,-0.057746180590763,0.311585981288739,0.311752068308726,-1.7475069075846,-1.38184051448006,319
2532,8,170,483,1.62137893918727,1.62120601753392,0.468351383874524,-0.652111059922532,-0.484100030963792,-0.731018807270885,-0.634449270481319,-0.683745901345655,-0.057746180590763,0.311585981288739,0.311752068308726,-2.11842587568386,-1.38184051448006,476
2532,1,180,303,1.20437296658338,1.23181412397388,-0.504437472832257,-0.652111059922532,-0.484100030963792,-0.731018807270885,-0.634449270481319,-0.787000706316209,-0.057746180590763,0.311585981288739,0.311752068308726,-2.18038157145429,-1.4141792840548,303
2532,1,200,260,0.444240032269976,0.400454216204362,-1.68462293858312,-0.652111059922532,-0.484100030963792,-0.731018807270885,-0.634449270481319,-0.787000706316209,-0.057746180590763,0.311585981288739,0.311752068308726,-1.65294295088237,-1.4141792840548,251
2532,1,210,257,-1.42079455386399,-1.4742130857028,-0.00405200339255932,-0.652111059922532,-0.484100030963792,-0.731018807270885,-0.634449270481319,-0.787000706316209,-0.057746180590763,0.311585981288739,0.311752068308726,-1.61218262471761,-1.4141792840548,247
2532,2,220,277,-0.299475344066895,-0.291250371090043,1.35883999889714,-0.652111059922532,-0.484100030963792,-0.731018807270885,-0.634449270481319,-0.787000706316209,-0.057746180590763,0.311585981288739,0.311752068308726,-1.63337799432328,-1.4141792840548,274
2532,2,230,259,-0.716481316670792,-0.728289373988645,0.80907438444695,-0.652111059922532,-0.484100030963792,-0.731018807270885,-0.634449270481319,-0.787000706316209,-0.057746180590763,0.311585981288739,0.311752068308726,-1.65701898349884,-1.4141792840548,256
