"Year","Reginal_Zone","Province_Code","Planted_Area","Harvested_Area","Production_Ton","Yield_HA_Area","Sale_Price","Highest_Price","Lowest_Price","Peak_Price","Compitation_Price","Fertilizer1_Price","Fertilizer2_Price","Fertilizer3_Price","Fertilizer_Use","Cost","Yield_PA_Area","predicted"
23,"21","650",1921,1886,1078,389,62,84,9,43,145,9,7,7,30.56,72,371,388.92812456052
24,"21","650",1841,1819,1016,381,63,93,10,42,130,11,10,9,30.68,79,366,386.33517958935
25,"21","650",1788,1791,1021,394,173,237,111,102,65,10,9,8,30.44,84,388,373.27634994949
26,"21","650",1750,1759,946,382,198,211,184,166,106,8,6,5,28.34,86,380,433.045628234198
27,"21","650",1520,1508,796,439,189,199,175,135,89,7,5,3,29.65,76,438,443.267444125052
28,"21","650",1496,1476,755,445,230,194,217,171,149,1,3,4,29.65,77,440,450.738014228642
