"Year","Reginal_Zone","Province_Code","Planted_Area","Harvested_Area","Production_Ton","Yield_HA_Area","Sale_Price","Highest_Price","Lowest_Price","Peak_Price","Compitation_Price","Fertilizer1_Price","Fertilizer2_Price","Fertilizer3_Price","Fertilizer_Use","Cost","Yield_PA_Area","predicted"
23,"19","530",660,599,2024,437,16,47,290,30,194,9,7,7,32.83,93,404,214.294942175987
24,"19","530",634,634,2020,420,333,5,258,5,195,11,10,9,30.56,96,417,355.36457328477
25,"19","530",622,548,1964,435,211,243,102,202,190,10,9,8,31.29,97,401,440.051733413587
26,"19","530",608,600,2090,472,167,196,169,169,182,8,6,5,31.6,98,469,428.499280518549
27,"19","530",456,453,1851,445,250,262,169,130,178,7,5,3,33.32,94,440,432.961428809407
28,"19","530",421,425,1847,460,145,180,137,142,164,1,3,4,33.32,91,456,426.136497201963
