"Year","Reginal_Zone","Province_Code","Planted_Area","Harvested_Area","Production_Ton","Yield_HA_Area","Sale_Price","Highest_Price","Lowest_Price","Peak_Price","Compitation_Price","Fertilizer1_Price","Fertilizer2_Price","Fertilizer3_Price","Fertilizer_Use","Cost","Yield_PA_Area","predicted"
23,"9","70",720,583,2077,472,384,24,278,8,197,9,7,7,18.25,81,393,347.092091097093
24,"9","70",762,724,93,471,5,4,2,4,167,11,10,9,20.54,89,442,445.86976803686
25,"9","70",745,704,81,471,206,248,126,209,177,10,9,8,20.21,92,445,460.593115339407
26,"9","70",682,683,2102,431,135,179,126,110,179,8,6,5,19.07,95,429,423.363921007133
27,"9","70",527,506,1855,416,146,200,95,108,173,7,5,3,18.08,90,408,398.336462378654
28,"9","70",507,503,1881,426,179,184,196,148,166,1,3,4,18.08,83,424,414.012778404495
