"Year","Reginal_Zone","Province_Code","Planted_Area","Harvested_Area","Production_Ton","Yield_HA_Area","Sale_Price","Highest_Price","Lowest_Price","Peak_Price","Compitation_Price","Fertilizer1_Price","Fertilizer2_Price","Fertilizer3_Price","Fertilizer_Use","Cost","Yield_PA_Area","predicted"
23,"12","30",1016,924,514,609,384,24,278,8,197,9,7,7,21.75,81,556,539.353162557
24,"12","30",1093,1075,595,581,340,4,248,4,167,11,10,9,24.3,89,562,544.78868314158
25,"12","30",1090,1080,554,556,174,219,118,182,177,10,9,8,23.22,92,539,554.974242780187
26,"12","30",1017,1032,451,522,166,191,155,163,179,8,6,5,23.2,95,521,526.353986298844
27,"12","30",1542,1513,957,508,168,225,150,133,173,7,5,3,21.67,90,490,486.350372218881
28,"12","30",1558,1553,1035,526,142,174,136,127,166,1,3,4,21.67,83,521,510.3197227009
